"Tax", "VAT"
"Excl. Tax","Excl. VAT"
"(Excl. Tax)","(Excl. VAT)"
"Incl. Tax","Incl. VAT"
"(Incl. Tax)","(Incl.  VAT)"
"Order Total Excl. Tax", "Order Total Excl. VAT"
"Order Total Incl. Tax", "Order Total Incl. VAT"
"Estimate Shipping and Tax", "Estimate Shipping and VAT"
"As low as", "From"
"Shopping Options", "Filters"
"Now Shopping by", "Filters"
"Compare Products", "Compare"
"Customize and Add to Cart", "Customise and Add to Cart"
"Customize %1", "Customise %1"
"Your Customization", "Your Customisation"
"Sorry, no quotes are available for this order at this time", "Specialised shipping is required for this order. Please call us to arrange this."
